"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Adrien Planté",1030,"le 8 juin 2013 contre la Nouvelle-Zélande","le 15 juin 2013 contre la Nouvelle-Zélande",2,0,"https://fr.wikipedia.org//wiki/Adrien_Plant%C3%A9_(rugby_%C3%A0_XV)"
"Alexandre Flanquart",1031,"le 8 juin 2013 contre la Nouvelle-Zélande","le 19 mars 2016 contre l'Angleterre",23,0,"https://fr.wikipedia.org//wiki/Alexandre_Flanquart"
"Daniel Kotze",1032,"le 8 juin 2013 contre la Nouvelle-Zélande","le 25 novembre 2017 contre le Japon",4,0,"https://fr.wikipedia.org//wiki/Daniel_Kotze"
"Bernard Le Roux",1033,"le 15 juin 2013 contre la Nouvelle-Zélande","le 26 mars 2021 contre l'Ecosse",47,0,"https://fr.wikipedia.org//wiki/Bernard_Le_Roux"
"Rémi Talès",1034,"le 15 juin 2013 contre la Nouvelle-Zélande","le 17 octobre 2015 contre la Nouvelle-Zélande",24,0,"https://fr.wikipedia.org//wiki/R%C3%A9mi_Tal%C3%A8s"
"Eddy Ben Arous",1035,"le 22 juin 2013 contre la Nouvelle-Zélande","le 11 février 2018 contre l'Écosse",20,0,"https://fr.wikipedia.org//wiki/Eddy_Ben_Arous"
"Rabah Slimani",1036,"le 9 novembre 2013 contre la Nouvelle-Zélande","le 20 octobre 2019 contre le pays de Galles",56,20,"https://fr.wikipedia.org//wiki/Rabah_Slimani"
"Sofiane Guitoune",1037,"le 16 novembre 2013 contre les Tonga","le 6 octobre 2019 contre les Tonga",9,15,"https://fr.wikipedia.org//wiki/Sofiane_Guitoune"
"Jonathan Pélissié",1038,"le 16 novembre 2013 contre les Tonga","le 16 novembre 2013 contre les Tonga",1,0,"https://fr.wikipedia.org//wiki/Jonathan_P%C3%A9lissi%C3%A9"
"Jules Plisson",1039,"le 1er février 2014 contre l'Angleterre","le 23 juin 2018 contre la Nouvelle-Zélande",18,68,"https://fr.wikipedia.org//wiki/Jules_Plisson"
"Antoine Burban",1040,"le 1er février 2014 contre l'Angleterre","le 26 février 2016 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Antoine_Burban"
"Hugo Bonneval",1041,"le 9 février 2014 contre l'Italie","le 10 mars 2018 contre l'Angleterre",14,20,"https://fr.wikipedia.org//wiki/Hugo_Bonneval"
"Brice Mach",1042,"le 21 février 2014 contre le pays de Galles","le 14 juin 2014 contre l'Australie",3,0,"https://fr.wikipedia.org//wiki/Brice_Mach"
"Félix Le Bourhis",1043,"le 7 juin 2014 contre l'Australie","le 7 juin 2014 contre l'Australie",1,0,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Le_Bourhis"
"Rémi Lamerat",1044,"le 7 juin 2014 contre l'Australie","le 23 juin 2018 contre la Nouvelle-Zélande",19,10,"https://fr.wikipedia.org//wiki/R%C3%A9mi_Lamerat"
"Alexandre Menini",1045,"le 14 juin 2014 contre l'Australie","le 7 février 2015 contre l'Écosse",6,0,"https://fr.wikipedia.org//wiki/Alexandre_Menini"
"Alexandre Dumoulin",1046,"le 8 novembre 2014 contre les Fidji","le 17 octobre 2015 contre la Nouvelle-Zélande",8,0,"https://fr.wikipedia.org//wiki/Alexandre_Dumoulin"
"Scott Spedding",1047,"le 8 novembre 2014 contre les Fidji","le 25 novembre 2017 contre le Japon",24,26,"https://fr.wikipedia.org//wiki/Scott_Spedding"
"Teddy Thomas",1048,"le 8 novembre 2014 contre les Fidji","le 17 juillet 2021 contre l'Australie",28,75,"https://fr.wikipedia.org//wiki/Teddy_Thomas"
"Uini Atonio",1049,"le 8 novembre 2014 contre les Fidji","le 27 août 2023 contre l'Australie",53,10,"https://fr.wikipedia.org//wiki/Uini_Atonio"
"Xavier Chiocci",1050,"le 8 novembre 2014 contre les Fidji","le 24 juin 2017 contre l'Afrique du Sud",10,0,"https://fr.wikipedia.org//wiki/Xavier_Chiocci"
"Rory Kockott",1051,"le 8 novembre 2014 contre les Fidji","le 17 octobre 2015 contre la Nouvelle-Zélande",11,15,"https://fr.wikipedia.org//wiki/Rory_Kockott"
"Charles Ollivon",1052,"le 8 novembre 2014 contre les Fidji","le 27 août 2023 contre l'Australie",35,65,"https://fr.wikipedia.org//wiki/Charles_Ollivon"
"Loann Goujon",1053,"le 7 février 2015 contre l'Écosse","le 24 juin 2017 contre l'Afrique du Sud",17,5,"https://fr.wikipedia.org//wiki/Loann_Goujon"
"Noa Nakaitaci",1054,"le 15 mars 2015 contre l'Italie","le 18 mars 2017 contre le pays de Galles",15,10,"https://fr.wikipedia.org//wiki/Noa_Nakaitaci"
"Rémy Grosso",1055,"le 1er octobre 2015 contre le Canada","le 9 juin 2018 contre la Nouvelle-Zélande",5,10,"https://fr.wikipedia.org//wiki/R%C3%A9my_Grosso"
"Sébastien Bézy",1056,"le 6 février 2016 contre l'Italie","le 6 décembre 2020 contre l'Angleterre",8,0,"https://fr.wikipedia.org//wiki/S%C3%A9bastien_B%C3%A9zy"
"Jonathan Danty",1057,"le 6 février 2016 contre l'Italie","le 27 août 2023 contre l'Australie",23,20,"https://fr.wikipedia.org//wiki/Jonathan_Danty"
"Paul Jedrasiak",1058,"le 6 février 2016 contre l'Italie","le 25 novembre 2017 contre le Japon",10,0,"https://fr.wikipedia.org//wiki/Paul_Jedrasiak"
