"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Henri Amand",1,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Henri_Amand"
"Albert Branlat",2,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 2 mars 1908 contre le pays de Galles",3,2,"https://fr.wikipedia.org//wiki/Albert_Branlat"
"Noël Cessieux",3,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,3,"https://fr.wikipedia.org//wiki/No%C3%ABl_Cessieux"
"Marcel Communeau",4,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 27 février 1913 contre le pays de Galles",21,9,"https://fr.wikipedia.org//wiki/Marcel_Communeau"
"William Crichton",5,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 22 mars 1906 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/William_Crichton_(rugby_%C3%A0_XV)"
"Paul Dedeyn",6,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Paul_Dedeyn"
"Jacques Duffourcq",7,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 2 mars 1908 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Jacques_Duffourcq"
"Georges Jérome",8,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 22 mars 1906 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Georges_J%C3%A9rome"
"Henri Lacassagne",9,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Henri_Lacassagne"
"Gaston Lane",10,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1913 contre l'Écosse",16,3,"https://fr.wikipedia.org//wiki/Gaston_Lane"
"Henri Levée",11,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Henri_Lev%C3%A9e"
"Allan Muhr",12,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",3,6,"https://fr.wikipedia.org//wiki/Allan_Muhr"
"Augustin Pujol",13,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,2,"https://fr.wikipedia.org//wiki/Augustin_Pujol"
"Paul Sagot",14,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 23 février 1909 contre le pays de Galles",3,5,"https://fr.wikipedia.org//wiki/Paul_Sagot"
"André Vergès",15,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",3,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Verg%C3%A8s"
"Pierre Gaudermen",16,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",1,0,"https://fr.wikipedia.org//wiki/Pierre_Gaudermen"
"Albert Hubert",17,"le 22 mars 1906 contre l'Angleterre","le 20 mars 1909 contre l'Irlande",7,0,"https://fr.wikipedia.org//w/index.php?title=Albert_Hubert&action=edit&redlink=1"
"Émile Lesieur",18,"le 22 mars 1906 contre l'Angleterre","le 25 mars 1912 contre le pays de Galles",12,6,"https://fr.wikipedia.org//wiki/%C3%89mile_Lesieur"
"Ernest William Lewis",19,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=Ernest_William_Lewis&action=edit&redlink=1"
"Paul Maclos",20,"le 22 mars 1906 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",2,7,"https://fr.wikipedia.org//w/index.php?title=Paul_Maclos&action=edit&redlink=1"
"G. Maurin",21,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=G._Maurin&action=edit&redlink=1"
"Théodore Varvier",22,"le 22 mars 1906 contre l'Angleterre","le 1er janvier 1912 contre l'Irlande",6,0,"https://fr.wikipedia.org//wiki/Th%C3%A9odore_Varvier"
"Charles Beaurin",23,"le 5 janvier 1907 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Charles_Beaurin"
"Marc Giacardy",24,"le 5 janvier 1907 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",1,0,"https://fr.wikipedia.org//wiki/Marc_Giacardy"
"Henri Isaac",25,"le 5 janvier 1907 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",2,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Isaac&action=edit&redlink=1"
"Henri Martin",26,"le 5 janvier 1907 contre l'Angleterre","le 2 mars 1908 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Martin_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Paul Mauriat",27,"le 5 janvier 1907 contre l'Angleterre","le 24 mars 1913 contre l'Irlande",19,5,"https://fr.wikipedia.org//wiki/Paul_Mauriat_(rugby_%C3%A0_XV)"
"A. Poirier",28,"le 5 janvier 1907 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=A._Poirier&action=edit&redlink=1"
"Charles Vareilles[Note 1]",29,"le 5 janvier 1907 contre l'Angleterre","le 3 mars 1910 contre l'Angleterre",5,4,"https://fr.wikipedia.org//wiki/Charles_Vareilles"
"Georges Borchard",30,"le 1er janvier 1908 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",5,0,"https://fr.wikipedia.org//wiki/Georges_Borchard"
"René Duval",31,"le 1er janvier 1908 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",6,0,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Duval_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Pierre Guillemin",32,"le 1er janvier 1908 contre l'Angleterre","le 28 février 1911 contre le pays de Galles",11,3,"https://fr.wikipedia.org//wiki/Pierre_Guillemin"
"Alfred Mayssonnié",33,"le 1er janvier 1908 contre l'Angleterre","le 1er janvier 1910 contre le pays de Galles",3,0,"https://fr.wikipedia.org//wiki/Alfred_Mayssonni%C3%A9"
"Henri Moure",34,"le 1er janvier 1908 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Moure&action=edit&redlink=1"
"René de Mallemann[Note 2]",35,"le 1er janvier 1908 contre l'Angleterre","le 28 mars 1910 contre l'Irlande",7,0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_de_Mallemann"
"Maurice Leuvielle",36,"le 2 mars 1908 contre le pays de Galles","le 13 avril 1914 contre l'Angleterre",7,0,"https://fr.wikipedia.org//wiki/Maurice_Leuvielle"
"Alphonse Massé",37,"le 2 mars 1908 contre le pays de Galles","le 28 mars 1910 contre l'Irlande",7,0,"https://fr.wikipedia.org//wiki/Alphonse_Mass%C3%A9"
"Jean Caujolle",38,"le 30 janvier 1909 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",5,0,"https://fr.wikipedia.org//wiki/Jean_Caujolle"
"Georges Fourcade",39,"le 30 janvier 1909 contre l'Angleterre","le 23 février 1909 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Georges_Fourcade_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Henri Houblain",40,"le 30 janvier 1909 contre l'Angleterre","le 1er janvier 1910 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Houblain&action=edit&redlink=1"
"Jules Icard",41,"le 30 janvier 1909 contre l'Angleterre","le 23 février 1909 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Jules_Icard&action=edit&redlink=1"
"André Theuriet",42,"le 30 janvier 1909 contre l'Angleterre","le 25 janvier 1913 contre l'Angleterre",5,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Theuriet_(rugby_%C3%A0_XV)"
"Étienne de Jouvencel",43,"le 23 février 1909 contre le pays de Galles","le 20 mars 1909 contre l'Irlande",2,0,"https://fr.wikipedia.org//w/index.php?title=%C3%89tienne_de_Jouvencel&action=edit&redlink=1"
"Paul Dupré",44,"le 23 février 1909 contre le pays de Galles","le 23 février 1909 contre le pays de Galles",1,0,"https://fr.wikipedia.org//w/index.php?title=Paul_Dupr%C3%A9&action=edit&redlink=1"
"Marcel Burgun",45,"le 20 mars 1909 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",11,0,"https://fr.wikipedia.org//wiki/Marcel_Burgun"
"Jacques Gommes",46,"le 20 mars 1909 contre l'Irlande","le 20 mars 1909 contre l'Irlande",1,0,"https://fr.wikipedia.org//w/index.php?title=Jacques_Gommes&action=edit&redlink=1"
"Augustin Hourdebaight",47,"le 20 mars 1909 contre l'Irlande","le 28 mars 1910 contre l'Irlande",5,0,"https://fr.wikipedia.org//w/index.php?title=Augustin_Hourdebaight&action=edit&redlink=1"
"Marcel Legrain",48,"le 20 mars 1909 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",12,0,"https://fr.wikipedia.org//wiki/Marcel_Legrain"
"Claude Martin",49,"le 20 mars 1909 contre l'Irlande","le 22 janvier 1910 contre l'Écosse",3,0,"https://fr.wikipedia.org//w/index.php?title=Claude_Martin(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Francis Mouronval",50,"le 20 mars 1909 contre l'Irlande","le 20 mars 1909 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Francis_Mouronval"
"Joe Anduran",51,"le 1er janvier 1910 contre le pays de Galles","le 1er janvier 1910 contre le pays de Galles",1,0,"https://fr.wikipedia.org//wiki/Joe_Anduran"
"René Boudreaux",52,"le 1er janvier 1910 contre le pays de Galles","le 22 janvier 1910 contre l'Écosse",2,0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Boudreaux"
"Maurice Bruneau",53,"le 1er janvier 1910 contre le pays de Galles","le 25 janvier 1913 contre l'Angleterre",4,3,"https://fr.wikipedia.org//wiki/Maurice_Bruneau"
"Rémi Laffitte",54,"le 1er janvier 1910 contre le pays de Galles","le 22 janvier 1910 contre l'Écosse",2,3,"https://fr.wikipedia.org//w/index.php?title=R%C3%A9mi_Laffitte&action=edit&redlink=1"
"René Menrath[Note 3]",55,"le 1er janvier 1910 contre le pays de Galles","le 1er janvier 1910 contre le pays de Galles",1,8,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Menrath&action=edit&redlink=1"
"M. Thévenot",56,"le 1er janvier 1910 contre le pays de Galles","le 22 mars 1910 contre l'Irlande",3,0,"https://fr.wikipedia.org//w/index.php?title=M._Th%C3%A9venot&action=edit&redlink=1"
"Jules Cadenat",57,"le 22 janvier 1910 contre l'Écosse","le 24 mars 1913 contre l'Irlande",7,0,"https://fr.wikipedia.org//wiki/Jules_Cadenat"
"Julien Combe",58,"le 22 janvier 1910 contre l'Écosse","le 2 janvier 1911 contre l'Écosse",4,0,"https://fr.wikipedia.org//w/index.php?title=Julien_Combe&action=edit&redlink=1"
"Jacques Dedet",59,"le 22 janvier 1910 contre l'Écosse","le 24 mars 1913 contre l'Irlande",8,0,"https://fr.wikipedia.org//w/index.php?title=Jacques_Dedet&action=edit&redlink=1"
"Guillaume Laterrade",60,"le 3 mars 1910 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",5,3,"https://fr.wikipedia.org//wiki/Guillaume_Laterrade"
"Joseph Jourdain de Muizon",61,"le 28 mars 1910 contre l'Irlande","le 28 mars 1910 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Joseph_Jourdain_de_Muizon"
"Fernand Roujas",62,"le 28 mars 1910 contre l'Irlande","le 28 mars 1910 contre l'Irlande",1,0,"https://fr.wikipedia.org//w/index.php?title=Fernand_Roujas&action=edit&redlink=1"
"Joseph Bavozet",63,"le 2 janvier 1911 contre l'Écosse","le 28 février 1911 contre le pays de Galles",3,0,"https://fr.wikipedia.org//wiki/Joseph_Bavozet"
"Paul Decamps",64,"le 2 janvier 1911 contre l'Écosse","le 2 janvier 1911 contre l'Écosse",1,4,"https://fr.wikipedia.org//w/index.php?title=Paul_Decamps&action=edit&redlink=1"
"Pierre Failliot",65,"le 2 janvier 1911 contre l'Écosse","le 27 février 1913 contre le pays de Galles",8,15,"https://fr.wikipedia.org//wiki/Pierre_Failliot"
"Fernand Forgues",66,"le 2 janvier 1911 contre l'Écosse","le 13 avril 1914 contre l'Angleterre",11,0,"https://fr.wikipedia.org//wiki/Fernand_Forgues"
"André Francquenelle",67,"le 2 janvier 1911 contre l'Écosse","le 24 mars 1913 contre l'Irlande",3,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Francquenelle"
"Pierre Mounicq",68,"le 2 janvier 1911 contre l'Écosse","le 25 janvier 1913 contre l'Angleterre",9,0,"https://fr.wikipedia.org//wiki/Pierre_Mounicq"
"Georges Peyroutou",69,"le 2 janvier 1911 contre l'Écosse","le 28 janvier 1911 contre l'Angleterre",2,0,"https://fr.wikipedia.org//w/index.php?title=Georges_Peyroutou&action=edit&redlink=1"
"Gilbert Charpentier",70,"le 28 janvier 1911 contre l'Angleterre","le 8 avril 1912 contre l'Angleterre",3,0,"https://fr.wikipedia.org//w/index.php?title=Gilbert_Charpentier&action=edit&redlink=1"
"François Dutour",71,"le 28 janvier 1911 contre l'Angleterre","le 1er janvier 1913 contre l'Écosse",6,2,"https://fr.wikipedia.org//w/index.php?title=Fran%C3%A7ois_Dutour&action=edit&redlink=1"
"René Duffour",72,"le 28 janvier 1911 contre le pays de Galles","le 28 février 1911 contre le pays de Galles",1,0,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Duffour&action=edit&redlink=1"
"Charles du Souich",73,"le 28 février 1911 contre le pays de Galles","le 25 mars 1911 contre l'Irlande",2,0,"https://fr.wikipedia.org//wiki/Charles_du_Souich"
"Robert Monier",74,"le 25 mars 1911 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",2,0,"https://fr.wikipedia.org//wiki/Robert_Monier"
"Raoul Paoli",75,"le 25 mars 1911 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",3,3,"https://fr.wikipedia.org//wiki/Raoul_Paoli"
"Maurice Boyau",76,"le 1er janvier 1912 contre l'Irlande","le 24 mars 2013 contre l'Irlande",6,4,"https://fr.wikipedia.org//wiki/Maurice_Boyau"
"Jean Jacques Conilh de Beyssac",77,"le 1er janvier 1912 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",5,0,"https://fr.wikipedia.org//wiki/Jean_Jacques_Conilh_de_Beyssac"
"Jean Domercq",78,"le 1er janvier 1912 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",2,0,"https://fr.wikipedia.org//wiki/Jean_Domercq"
"Julien Dufau",79,"le 1er janvier 1912 contre l'Irlande","le 8 avril 1912 contre l'Angleterre",4,6,"https://fr.wikipedia.org//wiki/Julien_Dufau_(rugby_%C3%A0_XV)"
"Daniel Ihingoue[Note 4],[5]",80,"le 1er janvier 1912 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",2,0,"https://fr.wikipedia.org//w/index.php?title=Daniel_Ihingoue&action=edit&redlink=1"
"Jean Larribau",81,"le 1er janvier 1912 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",7,3,"https://fr.wikipedia.org//wiki/Jean_Larribau"
"Édouard Vallot",82,"le 20 janvier 1912 contre l'Écosse","le 20 janvier 1912 contre l'Écosse",1,0,"https://fr.wikipedia.org//w/index.php?title=%C3%89douard_Vallot_(rugby)&action=edit&redlink=1"
"Jacques Forestier",83,"le 25 mars 1912 contre le pays de Galles","le 25 mars 1912 contre le pays de Galles",1,0,"https://fr.wikipedia.org//wiki/Jacques_Forestier"
"Marcel Monniot",84,"le 25 mars 1912 contre le pays de Galles","le 8 avril 1912 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Marcel_Monniot"
"Jean-René Pascarel",85,"le 25 mars 1912 contre le pays de Galles","le 24 mars 1913 contre l'Irlande",6,0,"https://fr.wikipedia.org//w/index.php?title=Jean-Ren%C3%A9_Pascarel&action=edit&redlink=1"
"Jean Sentilles",86,"le 25 mars 1912 contre le pays de Galles","le 11 janvier 1913 contre l'Afrique du Sud",4,0,"https://fr.wikipedia.org//w/index.php?title=Jean_Sentilles&action=edit&redlink=1"
"Hélier Thil[Note 5]",87,"le 25 mars 1912 contre le pays de Galles","le 27 février 1913 contre le pays de Galles",6,0,"https://fr.wikipedia.org//wiki/H%C3%A9lier_Thil"
"Maurice Hedembaigt",88,"le 1er janvier 1913 contre l'Écosse","le 2 mars 1914 contre le pays de Galles",3,0,"https://fr.wikipedia.org//w/index.php?title=Maurice_Hedembaigt&action=edit&redlink=1"
"Pierre Jauréguy",89,"le 1er janvier 1913 contre l'Écosse","le 24 mars 1913 contre l'Irlande",4,0,"https://fr.wikipedia.org//w/index.php?title=Pierre_Jaur%C3%A9guy&action=edit&redlink=1"
"Jean Sébédio",90,"le 1er janvier 1913 contre l'Écosse","le 20 mars 1923 contre l'Écosse",9,3,"https://fr.wikipedia.org//wiki/Jean_S%C3%A9b%C3%A9dio"
"Georges André",91,"le 11 janvier 1913 contre l'Afrique du Sud","le 13 avril 1914 contre l'Angleterre",7,11,"https://fr.wikipedia.org//wiki/Georges_Andr%C3%A9"
"Albert Chatau",92,"le 11 janvier 1913 contre l'Afrique du Sud","le 11 janvier 1913 contre l'Afrique du Sud",1,0,"https://fr.wikipedia.org//w/index.php?title=Albert_Chatau&action=edit&redlink=1"
"Marcel Favre",93,"le 25 janvier 1913 contre l'Angleterre","le 27 février 1913 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Marcel_Favre&action=edit&redlink=1"
"Clovis Bioussa",94,"le 27 février 1913 contre le pays de Galles","le 1er janvier 1914 contre l'Irlande",3,0,"https://fr.wikipedia.org//wiki/Clovis_Bioussa"
"Gustave Podevin",95,"le 27 février 1913 contre le pays de Galles","le 24 mars 1913 contre l'Irlande",2,0,"https://fr.wikipedia.org//w/index.php?title=Gustave_Podevin&action=edit&redlink=1"
"Jean Semmartin",96,"le 27 février 1913 contre le pays de Galles","le 24 mars 1913 contre l'Irlande",2,0,"https://fr.wikipedia.org//wiki/Jean_Semmartin"
"Philippe Struxiano",97,"le 27 février 1913 contre le pays de Galles","le 10 octobre 1920 contre les États-Unis",7,6,"https://fr.wikipedia.org//wiki/Philippe_Struxiano"
"Albert Eutrope",98,"le 24 mars 1913 contre l'Irlande","le 24 mars 1913 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Albert_Eutrope"
"Henri Tavernier",99,"le 24 mars 1913 contre l'Irlande","le 24 mars 1913 contre l'Irlande",1,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Tavernier&action=edit&redlink=1"
"Jean-Marie Arnal",100,"le 1er janvier 1914 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",2,0,"https://fr.wikipedia.org//wiki/Jean-Marie_Arnal"
"Paul Faure",101,"le 1er janvier 1914 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",3,0,"https://fr.wikipedia.org//w/index.php?title=Paul_Faure_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Robert Lacoste",102,"le 1er janvier 1914 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",3,3,"https://fr.wikipedia.org//w/index.php?title=Robert_Lacoste_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"René Lasserre",103,"le 1er janvier 1914 contre l'Irlande","le 18 mai 1924 contre les États-Unis",15,10,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Lasserre"
"Raphaël Lavaud",104,"le 1er janvier 1914 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",2,0,"https://fr.wikipedia.org//wiki/Rapha%C3%ABl_Lavaud"
"Marcel-Frederic Lubin-Lebrere",105,"le 1er janvier 1914 contre l'Irlande","le 1er janvier 1925 contre l'Irlande",15,6,"https://fr.wikipedia.org//wiki/Marcel-Frederic_Lubin-Lebrere"
"Gilbert Pierrot",106,"le 1er janvier 1914 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",3,0,"https://fr.wikipedia.org//wiki/Gilbert_Pierrot"
"François Poeydebasque[Note 6],[6]",107,"le 1er janvier 1914 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Fran%C3%A7ois_Poeydebasque&action=edit&redlink=1"
"Lucien Besset",108,"le 2 mars 1914 contre le pays de Galles","le 13 avril 1914 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Lucien_Besset"
"Robert Desvouges",109,"le 2 mars 1914 contre le pays de Galles","le 2 mars 1914 contre le pays de Galles",1,0,"https://fr.wikipedia.org//w/index.php?title=Robert_Desvouges&action=edit&redlink=1"
"Paulin Bascou",110,"le 13 avril 1914 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",1,0,"https://fr.wikipedia.org//wiki/Paulin_Bascou"
"Jean-Louis Capmau",111,"le 13 avril 1914 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",1,3,"https://fr.wikipedia.org//w/index.php?title=Jean-Louis_Capmau&action=edit&redlink=1"
"Emmanuel Iguinitz[Note 7],[7]",112,"le 13 avril 1914 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=Emmanuel_Iguinitz&action=edit&redlink=1"
"Eugène Billac",113,"le 1er janvier 1920 contre l'Écosse","le 2 avril 1923 contre l'Angleterre",9,6,"https://fr.wikipedia.org//wiki/Eug%C3%A8ne_Billac"
"Aimé Cassayet-Armagnac",114,"le 1er janvier 1920 contre l'Écosse","le 26 février 1927 contre le pays de Galles",31,9,"https://fr.wikipedia.org//wiki/Aim%C3%A9_Cassayet-Armagnac"
"André Chilo",115,"le 1er janvier 1920 contre l'Écosse","le 18 janvier 1925 contre la Nouvelle-Zélande",4,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Chilo"
"René Crabos",116,"le 1er janvier 1920 contre l'Écosse","le 26 janvier 1924 contre l'Irlande",17,19,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Crabos"
"Adolphe Jauréguy",117,"le 1er janvier 1920 contre l'Écosse","le 1er avril 1929 contre l'Angleterre",31,42,"https://fr.wikipedia.org//wiki/Adolphe_Jaur%C3%A9guy"
"Joseph Laurent",118,"le 1er janvier 1920 contre l'Écosse","le 17 février 1920 contre le pays de Galles",3,0,"https://fr.wikipedia.org//wiki/Joseph_Laurent"
"Robert Marchand",119,"le 1er janvier 1920 contre l'Écosse","le 17 février 1920 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Robert_Marchand_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Pierre Pons",120,"le 1er janvier 1920 contre l'Écosse","le 2 janvier 1922 contre l'Écosse",6,0,"https://fr.wikipedia.org//wiki/Pierre_Pons"
"Louis Puech",121,"le 1er janvier 1920 contre l'Écosse","le 9 avril 1921 contre l'Irlande",5,0,"https://fr.wikipedia.org//wiki/Louis_Puech_(rugby_%C3%A0_XV)"
"Paul Serre",122,"le 1er janvier 1920 contre l'Écosse","le 31 janvier 1920 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Paul_Serre"
"Robert Thierry",123,"le 1er janvier 1920 contre l'Écosse","le 10 octobre 1920 contre les États-Unis",4,0,"https://fr.wikipedia.org//wiki/Robert_Thierry"
"Théophile Cambre",124,"le 31 janvier 1920 contre l'Angleterre","le 10 octobre 1920 contre les États-Unis",4,0,"https://fr.wikipedia.org//wiki/Th%C3%A9ophile_Cambre"
"Abel Guichemerre",125,"le 31 janvier 1920 contre l'Angleterre","le 20 janvier 1923 contre l'Écosse",4,0,"https://fr.wikipedia.org//wiki/Abel_Guichemerre"
"Bernard Lavigne[Note 8]",126,"le 31 janvier 1920 contre l'Angleterre","le 17 février 1920 contre le pays de Galles",2,0,"https://fr.wikipedia.org//wiki/Bernard_Lavigne_(1894-1926)"
"Eugène Soulié",127,"le 31 janvier 1920 contre l'Angleterre","le 8 avril 1922 contre l'Irlande",9,0,"https://fr.wikipedia.org//wiki/Eug%C3%A8ne_Souli%C3%A9"
"Maurice Biraben",128,"le 17 février 1920 contre le pays de Galles","le 8 avril 1922 contre l'Irlande",10,0,"https://fr.wikipedia.org//wiki/Maurice_Biraben"
"Georges Constant",129,"le 17 février 1920 contre le pays de Galles","le 17 février 1920 contre le pays de Galles",1,0,"https://fr.wikipedia.org//w/index.php?title=Georges_Constant_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"François Borde",130,"le 3 avril 1920 contre l'Irlande","le 27 février 1926 contre l'Angleterre",12,3,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Borde"
"William Gayraud",131,"le 3 avril 1920 contre l'Irlande","le 3 avril 1920 contre l'Irlande",1,3,"https://fr.wikipedia.org//wiki/William_Gayraud"
"Raoul Got",132,"le 3 avril 1920 contre l'Irlande","le 18 mai 1924 contre les États-Unis",13,18,"https://fr.wikipedia.org//wiki/Raoul_Got"
"Jean Larrieu",133,"le 3 avril 1920 contre l'Irlande","le 14 avril 1923 contre l'Irlande",7,0,"https://fr.wikipedia.org//wiki/Jean_Larrieu"
"Pierre Moureu",134,"le 3 avril 1920 contre l'Irlande","le 13 avril 1925 contre l'Angleterre",17,6,"https://fr.wikipedia.org//wiki/Pierre_Moureu"
"Jean Boubée",135,"le 22 janvier 1921 contre l'Écosse","le 24 janvier 1925 contre l'Écosse",9,3,"https://fr.wikipedia.org//wiki/Jean_Boub%C3%A9e"
"Jean Clément",136,"le 22 janvier 1921 contre l'Écosse","le 14 avril 1923 contre l'Irlande",10,0,"https://fr.wikipedia.org//wiki/Jean_Cl%C3%A9ment_(rugby_%C3%A0_XV)"
"Gilbert Coscolla",137,"le 22 janvier 1921 contre l'Écosse","le 26 février 1921 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Gilbert_Coscolla&action=edit&redlink=1"
"Jean Lobies",138,"le 22 janvier 1921 contre l'Écosse","le 28 mars 1921 contre l'Angleterre",3,0,"https://fr.wikipedia.org//w/index.php?title=Jean_Lobies&action=edit&redlink=1"
"Roger Piteu",139,"le 22 janvier 1921 contre l'Écosse","le 27 février 1926 contre l'Angleterre",15,6,"https://fr.wikipedia.org//wiki/Roger_Piteu"
"Fernand Vaquer",140,"le 22 janvier 1921 contre l'Écosse","le 23 mars 1922 contre le pays de Galles",3,0,"https://fr.wikipedia.org//wiki/Fernand_Vaquer"
"Adolphe Bousquet",141,"le 28 mars 1921 contre l'Angleterre","le 4 mai 1924 contre la Roumanie",3,0,"https://fr.wikipedia.org//wiki/Adolphe_Bousquet"
"Edmond Cayrefourcq",142,"le 28 mars 1921 contre l'Angleterre","le 28 mars 1921 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=Edmond_Cayrefourcq&action=edit&redlink=1"
"Charles-Anthoine Gonnet",143,"le 28 mars 1921 contre l'Angleterre","le 17 avril 1927 contre l'Allemagne",16,5,"https://fr.wikipedia.org//wiki/Charles-Anthoine_Gonnet"
"Jacques Baquey",144,"le 9 avril 1921 contre l'Irlande","le 9 avril 1921 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Jacques_Baquey"
"Marcel de Laborderie",145,"le 9 avril 1921 contre l'Irlande","le 13 avril 1925 contre l'Angleterre",4,3,"https://fr.wikipedia.org//wiki/Marcel_de_Laborderie"
